Acné,Acne
Affections des voies respiratoires,Respiratory tract infections
Affections des voies respiratoires basses,Lower respiratory tract infections
Affections des voies respiratoires hautes,Upper respiratory tract infections
Allergie,Allergy
Analgésique,Analgesic
Angine,Tonsillitis , Throat infection
Antiinflammatoire,Antiinflammatory
Antiacide,Antacid
Antibiotique,Antibiotic
Anticoagulant,Anticoagulant
Antidiabétique,Antidiabetic    
Antidouleur,Painkiller
Antifongique,Antifungal
Antihistaminique,Antihistamine
Antihypertenseur,Antihypertensive
Antiparasitaire,Antiparasitic
Antiprurigineux,Antipruritic
Antipyrétique,Antipyretic
Antiseptique,Antiseptic
Antispasmodique,Antispasmodic
Antitussif,Antitussive , Cough suppressant
Antiviral,Antiviral
Anxiété,Anxiety
Anémie,Anemia
Arthrite,Arthritis
Arthrose,Osteoarthritis
Asthme,Asthma
Asthénie,Asthenia , Weakness
Ballonnements,Bloating
Bronchiolite,Bronchiolitis
Bronchite,Bronchitis
Bronchodilatateur,Bronchodilator
Brûlures d'estomac,Heartburn
Brûlures superficielles,Superficial burns
Candidose,Candidiasis
Carence en fer,Iron deficiency
Carence en vitamine D,Vitamin D deficiency
Cicatrisant,Healing , Cicatrizing
Complément alimentaire,Food supplement
Congestion nasale,Nasal congestion
Conjonctivite,Conjunctivitis
Constipation,Constipation
Contusion,Bruise , Contusion
Coqueluche,Whooping cough
Corticoïde,Corticosteroid
Coup de soleil,Sunburn
Cystite,Cystitis , Urinary tract infection
Céphalées,Headaches
Dermatite,Dermatitis
Diabète,Diabetes
Diabète de type 1,Type 1 diabetes
Diabète de type 2,Type 2 diabetes
Diarrhée,Diarrhea
Difficultés à avaler,Difficulty swallowing
Diurétique,Diuretic
Douleur,Pain
Douleurs abdominales,Abdominal pain
Douleurs articulaires,Joint pain
Douleurs de dos,Back pain
Douleurs dentaires,Dental pain
Douleurs et fièvre,Pain and fever
Douleurs légères à modérées,Mild to moderate pain
Douleurs menstruelles,Menstrual pain
Douleurs modérées à sévères,Moderate to severe pain
Douleurs musculaires,Muscle pain
Douleurs rhumatismales,Rheumatic pain
Décongestionnant nasal,Nasal decongestant
Dépression,Depression
Désinfectant,Disinfectant
Eczéma,Eczema
Encombrement bronchique,Bronchial congestion
Encombrement nasal,Nasal congestion
Enrouement,Hoarseness
Entorse,Sprain
Essoufflement,Shortness of breath
Expectorant,Expectorant
Expectoration,Expectoration , Phlegm
Fatigue,Fatigue
Fièvre,Fever
Fièvre modérée,Moderate fever
Fièvre élevée,High fever
Flatulences,Flatulence
Fluidifiant bronchique,Bronchial mucolytic
Fluidifiant sanguin,Blood thinner
Gale,Scabies
Gastrite,Gastritis
Gastroentérite,Gastroenteritis
Gorge irritée,Irritated throat
Gorge sèche,Dry throat
Grippe,Flu , Influenza
Gêne respiratoire,Breathing discomfort
Herpès,Herpes
Hypercholestérolémie,Hypercholesterolemia
Hypertension,Hypertension
Hypertension artérielle,Arterial hypertension
Hyperthyroïdie,Hyperthyroidism
Hypothyroïdie,Hypothyroidism
Hémorroïdes,Hemorrhoids
Hépatite,Hepatitis
Immunosuppresseur,Immunosuppressant
Indication,Indication
Indications thérapeutiques,Therapeutic indications
Infarctus du myocarde,Myocardial infarction , Heart attack
Infection,Infection
Infections ORL,ENT infections
Infections cutanées,Skin infections
Infections digestives,Digestive infections
Infections urinaires,Urinary tract infections
Inflammation,Inflammation
Insomnie,Insomnia
Insomnie,Insomnia
Insuffisance cardiaque,Heart failure
Insuffisance rénale,Renal failure
Insuffisance veineuse,Venous insufficiency
Irritation oculaire,Eye irritation
Jambes lourdes,Heavy legs
Larmoiements,Watery eyes
Laryngite,Laryngitis
Laxatif,Laxative
Maux de gorge,Sore throat
Maux de tête,Headache
Migraine,Migraine
Mucolytique,Mucolytic
Mycose,Fungal infection
Nausée,Nausea
Nez bouché,Blocked nose
Nez qui coule,Runny nose
Oedème,Edema , Swelling
Otite,Otitis , Ear infection
Palpitations,Palpitations
Paludisme,Malaria
Parasitose intestinale,Intestinal parasitosis
Pharyngite,Pharyngitis
Plaie,Wound
Pneumonie,Pneumonia
Poux,Lice
Prurit,Pruritus , Itching
Prévention de,Prevention of
Psoriasis,Psoriasis
Reflux gastroœsophagien,Gastroesophageal reflux
Reminéralisant,Remineralizing
Rhinite,Rhinitis
Rhinite allergique,Allergic rhinitis
Rhinopharyngite,Rhinopharyngitis
Rhume,Common cold
Rougeole,Measles
Rééquilibrant,Rebalancing
Sciatique,Sciatica
Sifflement respiratoire,Wheezing
Sinusite,Sinusitis
Somnolence,Drowsiness
Soulagement de,Relief of
Supplément vitaminique,Vitamin supplement
Syndrome fébrile,Febrile syndrome
Syndrome grippal,Flulike syndrome
Sécheresse buccale,Dry mouth
Sécheresse cutanée,Dry skin
Sécheresse oculaire,Dry eyes
Sécrétions nasales,Nasal secretions
Tonique,Tonic
Toux,Cough
Toux grasse,Productive cough , Wet cough
Toux sèche,Dry cough
Traitement de,Treatment of
Traumatisme,Trauma
Troubles circulatoires,Circulatory disorders
Troubles de l'humeur,Mood disorders
Troubles digestifs,Digestive disorders
Troubles du sommeil,Sleep disorders
Ulcère,Ulcer
Urticaire,Urticaria , Hives
Vaccin,Vaccine
Varicelle,Chickenpox
Vasoconstricteur,Vasoconstrictor
Vasodilatateur,Vasodilator
Verrues,Warts
Vers intestinaux,Intestinal worms
Vertiges,Dizziness , Vertigo
Vomissements,Vomiting
Zona,Shingles , Herpes zoster
Écoulement nasal,Nasal discharge , Runny nose
Émollient,Emollient
Épilepsie,Epilepsy
Éruption cutanée,Skin rash
État fébrile,Febrile state
État grippal,Flulike state
Éternuements,Sneezing
Acide chlorhydrique,Hydrochloric acid
Acide citrique,Citric acid
Alcool benzylique,Benzyl alcohol
Amidon,Starch
Arôme fraise,Strawberry flavor
Arôme framboise,Raspberry flavor
Arôme menthe,Mint flavor
Arôme orange,Orange flavor
Arôme vanille,Vanilla flavor
Bicarbonate de sodium,Sodium bicarbonate
Camphre,Camphor
Cellulose microcristalline,Microcrystalline cellulose
Chlorure de sodium,Sodium chloride
Citrate de sodium,Sodium citrate
Colorant,Colorant , Dye
Composition,Composition
Contient,Contains
Dioxyde de titane,Titanium dioxide
Eau purifiée,Purified water
Eucalyptol,Eucalyptol
Excipients,Excipients
Glucose,Glucose
Glycérol,Glycerol
Huile de ricin,Castor oil
Hydroxyde de sodium,Sodium hydroxide
Hypromellose,Hypromellose
Lactose,Lactose
Menthol,Menthol
Par comprimé,Per tablet
Par dose,Per dose
Par gélule,Per capsule
Par ml,Per ml
Parabène,Paraben
Povidone,Povidone
Principe actif,Active ingredient
Propylène glycol,Propylene glycol
Saccharose,Sucrose
Sans conservateurs,Preservativefree
Sans gluten,Glutenfree
Sans lactose,Lactosefree
Sorbitol,Sorbitol
Stéarate de magnésium,Magnesium stearate
Sérum physiologique,Saline solution
Adultes,Adults
Adultes et adolescents,Adults and adolescents
Adultes et enfants,Adults and children
Agiter avant usage,Shake before use
Appliquer sur la peau,Apply to skin
Après les repas,After meals
Au coucher,At bedtime
Avaler,Swallow
Avaler sans croquer,Swallow whole
Avant les repas,Before meals
Avec un grand verre d'eau,With a full glass of water
Croquer,Chew
Deux fois par jour,Twice daily
Diluer avant emploi,Dilute before use
Dissoudre dans l'eau,Dissolve in water
Dose,Dose
Dose journalière,Daily dose
Dose maximale,Maximum dose
Dose unique,Single dose
Durée du traitement,Duration of treatment
En cas d'oubli,If a dose is missed
Enfants,Children
Enfants de moins de 15 kg,Children under 15 kg
Enfants de plus de 12 ans,Children over 12 years
Enfants de plus de 6 ans,Children over 6 years
Femme allaitante,Breastfeeding woman
Femme enceinte,Pregnant woman
Inhaler,Inhale
Injecter,Inject
Instiller,Instil
Insuffisant hépatique,Hepatic impairment
Insuffisant rénal,Renal impairment
Matin,Morning
Midi,Noon
Mode d'emploi,Directions for use
Ne pas interrompre le traitement,Do not discontinue treatment
Nourrissons,Infants
Nourrissons de moins de 3 mois,Infants under 3 months
Nouveaunés,Newborns
Pendant les repas,With meals
Personnes âgées,Elderly
Posologie,Dosage
Selon l'âge,According to age
Selon le poids,According to weight
Soir,Evening
Sujet âgé,Elderly patient
Toutes les 12 heures,Every 12 hours
Toutes les 8 heures,Every 8 hours
Trois fois par jour,Three times daily
Une fois par jour,Once daily
Usage externe,External use
Usage interne,Internal use
Voie auriculaire,Auricular route
Voie cutanée,Cutaneous route
Voie injectable,Injectable route
Voie nasale,Nasal route
Voie ophtalmique,Ophthalmic route
Voie orale,Oral route
Voie rectale,Rectal route
Voie vaginale,Vaginal route
À jeun,On an empty stomach
À partir de 15 kg,From 15 kg
Date de fabrication,Manufacturing date
Date de péremption,Expiry date
Distribué par,Distributed by
Dénomination commune internationale,International nonproprietary name
Fabriqué en Tunisie,Made in Tunisia
Fabriqué par,Manufactured by
Importé par,Imported by
Ministère de la Santé,Ministry of Health
Médicament,Medicine
Nom de marque,Brand name
Numéro d'autorisation,Authorization number
Numéro de lot,Batch number
Pays d'origine,Country of origin
Pharmacovigilance,Pharmacovigilance
Spécialité pharmaceutique,Pharmaceutical specialty
Visa sanitaire,Health authorization
À utiliser avant le,Use before
Bouchon de sécurité,Safety cap
Boîte,Box
Comprimés,Tablets
Conserver cette notice,Keep this leaflet
Emballage,Packaging
Gélules,Capsules
Lire attentivement la notice,Read the leaflet carefully
Notice,Package leaflet
Notice disponible sur demande,Leaflet available on request
Ouverture sécurisée,Childresistant opening
Pièces,Units , Pieces
Plaquette thermoformée,Blister pack
Ampoule,Ampoule
Aérosol,Aerosol
Capsule molle,Soft capsule
Collyre,Eye drops
Comprimé,Tablet
Comprimé effervescent,Effervescent tablet
Comprimé pelliculé,Filmcoated tablet
Comprimé sublingual,Sublingual tablet
Comprimé sécable,Scored tablet
Comprimé à libération prolongée,Extendedrelease tablet
Crème,Cream
Flacon,Bottle , Vial
Gel,Gel
Gouttes auriculaires,Ear drops
Gouttes nasales,Nasal drops
Granulés,Granules
Gélule,Capsule
Gélule à libération prolongée,Extendedrelease capsule
Implant,Implant
Inhalateur,Inhaler
Lotion,Lotion
Lyophilisat,Freezedried powder
Ovule,Vaginal pessary
Patch transdermique,Transdermal patch
Pommade,Ointment
Poudre pour solution,Powder for solution
Poudre pour suspension,Powder for suspension
Sachet,Sachet
Sirop,Syrup
Solution buvable,Oral solution
Solution injectable,Injectable solution
Solution pour perfusion,Solution for infusion
Spray nasal,Nasal spray
Suppositoire,Suppository
Suspension buvable,Oral suspension
Suspension injectable,Injectable suspension
Biodisponibilité,Bioavailability
Biosimilaire,Biosimilar
Médicament de référence,Reference medicine
Médicament générique,Generic medicine
Médicament à prescription restreinte,Restricted prescription medicine
Ordonnance,Prescription
Psychotrope,Psychotropic
Sans ordonnance,Without prescription , Over the counter
Stupéfiant,Narcotic
Usage hospitalier,Hospital use only
Usage humain,Human use
Usage vétérinaire,Veterinary use
Après ouverture utiliser dans les,After opening use within
Conserver,Store
Conserver au frais,Store in a cool place
Conserver au réfrigérateur,Store in the refrigerator
Conserver dans l'emballage d'origine,Keep in original packaging
Conserver entre 15°C et 25°C,Store between 15°C and 25°C
Conserver entre 2°C et 8°C,Store between 2°C and 8°C
Conserver à température ambiante,Store at room temperature
Ne pas congeler,Do not freeze
Ne pas exposer à des températures supérieures à,Do not expose to temperatures above
À conserver au sec,Store in a dry place
À l'abri de l'humidité,Keep away from moisture
À l'abri de la lumière,Keep away from light
%,percent
g,g
kg,kg
mEq,mEq
mg,mg
ml,ml
mmol,mmol
µg,µg
Allaitement,Breastfeeding
Allergie,Allergy
Attention,Warning
Avertissement,Caution
Ce médicament peut provoquer de la somnolence,This medicine may cause drowsiness
Consulter un médecin,Consult a doctor
Contient de l'alcool,Contains alcohol
Contient du lactose,Contains lactose
Contreindications,Contraindications
Effets indésirables,Side effects Adverse effects
En cas de doute consultez votre médecin,If in doubt consult your doctor
Eviter l'exposition au soleil,Avoid sun exposure
Grossesse,Pregnancy
Hypersensibilité,Hypersensitivity
Interactions médicamenteuses,Drug interactions
Médicament soumis à prescription médicale,Prescription only medicine
Ne pas avaler,Do not swallow
Ne pas conduire,Do not drive
Ne pas dépasser la dose prescrite,Do not exceed the prescribed dose
Ne pas utiliser après la date de péremption,Do not use after the expiry date
Ne pas utiliser chez les enfants de moins de,Do not use in children under
Précautions d'emploi,Precautions for use
Réservé à l'adulte,For adult use only
Surdosage,Overdose
Tenir hors de portée des enfants,Keep out of reach of children
Tenir à l'abri de la chaleur,Keep away from heat
Paracétamol,Paracetamol , Acetaminophen
Ibuprofène,Ibuprofen
Aspirine,Aspirin , Acetylsalicylic acid
Acide acétylsalicylique,Acetylsalicylic acid
Codéine,Codeine
Tramadol,Tramadol
Diclofénac,Diclofenac
Kétoprofène,Ketoprofen
Naproxène,Naproxen
Métamizole,Metamizole , Dipyrone
Morphine,Morphine
Fentanyl,Fentanyl
Oxycodone,Oxycodone
Caféine,Caffeine
Néfopam,Nefopam
Indométacine,Indomethacin
Célécoxib,Celecoxib
Méloxicam,Meloxicam
Piroxicam,Piroxicam
Étoricoxib,Etoricoxib
Amoxicilline,Amoxicillin
Amoxicilline,acide clavulanique,Amoxicillin,clavulanic acid , Co-amoxiclav
Ampicilline,Ampicillin
Cloxacilline,Cloxacillin
Pivmécillinam,Pivmecillinam
Céfadroxil,Cefadroxil
Céfalexine,Cefalexin
Céfazoline,Cefazolin
Céfixime,Cefixime
Céfuroxime,Cefuroxime
Ceftriaxone,Ceftriaxone
Céfotaxime,Cefotaxime
Ceftazidime,Ceftazidime
Azithromycine,Azithromycin
Clarithromycine,Clarithromycin
Érythromycine,Erythromycin
Spiramycine,Spiramycin
Roxithromycine,Roxithromycin
Josamycine,Josamycin
Ciprofloxacine,Ciprofloxacin
Norfloxacine,Norfloxacin
Lévofloxacine,Levofloxacin
Ofloxacine,Ofloxacin
Moxifloxacine,Moxifloxacin
Métronidazole,Metronidazole
Tinidazole,Tinidazole
Doxycycline,Doxycycline
Tétracycline,Tetracycline
